Property + Unit +Room	Property	Unit	Room
1520 1/2 Arapahoe Street, Los Angeles, CA, USA RM4	1520 1/2 Arapahoe Street, Los Angeles, CA, USA		4
1520 Arapahoe Street, Los Angeles, CA, USA RM5	1520 Arapahoe Street, Los Angeles, CA, USA		5
1520 Arapahoe Street, Los Angeles, CA, USA RM4	1520 Arapahoe Street, Los Angeles, CA, USA		4
1520 Arapahoe Street, Los Angeles, CA, USA RM2	1520 Arapahoe Street, Los Angeles, CA, USA		2
1520 Arapahoe Street, Los Angeles, CA, USA RM3	1520 Arapahoe Street, Los Angeles, CA, USA		3
1522 1/2 Arapahoe Street, Los Angeles, CA, USA RMWhole Unit	1522 1/2 Arapahoe Street, Los Angeles, CA, USA		Whole Unit
1575 West 35th Pl, Los Angeles, CA, USA RM102	1575 West 35th Pl, Los Angeles, CA, USA		102
1575 West 35th Pl, Los Angeles, CA, USA RM101	1575 West 35th Pl, Los Angeles, CA, USA		101
1575 West 35th Pl, Los Angeles, CA, USA RM103	1575 West 35th Pl, Los Angeles, CA, USA		103
1575 West 35th Pl, Los Angeles, CA, USA RM301	1575 West 35th Pl, Los Angeles, CA, USA		301
1575 West 35th Pl, Los Angeles, CA, USA RM102	1575 West 35th Pl, Los Angeles, CA, USA		101
1575 West 35th Pl, Los Angeles, CA, USA RM302	1575 West 35th Pl, Los Angeles, CA, USA		302
1575 West 35th Pl, Los Angeles, CA, USA RM201	1575 West 35th Pl, Los Angeles, CA, USA		201
1575 West 35th Pl, Los Angeles, CA, USA RM105	1575 West 35th Pl, Los Angeles, CA, USA		105
1575 West 35th Pl, Los Angeles, CA, USA RM203	1575 West 35th Pl, Los Angeles, CA, USA		203
1577 West 35th Pl, Los Angeles, CA, USA RM302	1577 West 35th Pl, Los Angeles, CA, USA		302
1664 West 37th Street, Los Angeles, CA, USA ARM3	1664 West 37th Street, Los Angeles, CA, USA	A	3
1664 West 37th Street, Los Angeles, CA, USA ARM1	1664 West 37th Street, Los Angeles, CA, USA	A	1
1664 West 37th Street, Los Angeles, CA, USA ERM1	1664 West 37th Street, Los Angeles, CA, USA	E	1
1664 West 37th Street, Los Angeles, CA, USA ARM4	1664 West 37th Street, Los Angeles, CA, USA	A	4
1664 West 37th Street, Los Angeles, CA, USA ERM2	1664 West 37th Street, Los Angeles, CA, USA	E	2
1664 West 37th Street, Los Angeles, CA, USA ERM4	1664 West 37th Street, Los Angeles, CA, USA	E	4
1700 1/2 Arapahoe Street, Los Angeles, CA, USA RM5	1700 1/2 Arapahoe Street, Los Angeles, CA, USA		5
1700 1/2 Arapahoe Street, Los Angeles, CA, USA RM3	1700 1/2 Arapahoe Street, Los Angeles, CA, USA		3
1700 1/2 Arapahoe Street, Los Angeles, CA, USA RM4	1700 1/2 Arapahoe Street, Los Angeles, CA, USA		4
1700 1/2 Arapahoe Street, Los Angeles, CA, USA RM2	1700 1/2 Arapahoe Street, Los Angeles, CA, USA		2
1700 1/2 Arapahoe Street, Los Angeles, CA, USA RM1	1700 1/2 Arapahoe Street, Los Angeles, CA, USA		1
1700 Arapahoe Street, Los Angeles, CA, USA RM3	1700 Arapahoe Street, Los Angeles, CA, USA		3
1700 Arapahoe Street, Los Angeles, CA, USA RM4	1700 Arapahoe Street, Los Angeles, CA, USA		4
1700 Arapahoe Street, Los Angeles, CA, USA RM2	1700 Arapahoe Street, Los Angeles, CA, USA		2
1700 Arapahoe Street, Los Angeles, CA, USA RM5	1700 Arapahoe Street, Los Angeles, CA, USA		5
